YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2020,2020,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.1,22.1,Data not reported,,"(40.13057004800049, -74.27369128799967)",PA,PA1,Q047,VALUE,34,Income,Data not reported,INC,INCNR
2020,2020,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.2,36.2,"$75,000 or greater",,"(37.645970271000465, -84.77497104799966)",OWS,OWS1,Q036,VALUE,21,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.8,30.8,"$25,000 - $34,999",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q037,VALUE,12,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,"$35,000 - $49,999",,"(35.466220975000454, -79.15925046299964)",OWS,OWS1,Q037,VALUE,37,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,13.3,13.3,"$75,000 or greater",,"(42.82700103200045, -75.54397042699964)",PA,PA1,Q047,VALUE,36,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.8,21.8,Data not reported,,"(38.843840757000464, -106.13361092099967)",PA,PA1,Q047,VALUE,8,Income,Data not reported,INC,INCNR
2020,2020,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.9,31.9,"Less than $15,000",,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q036,VALUE,34,Income,"Less than $15,000",INC,INCLESS15
2020,2020,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.8,31.8,Data not reported,,"(33.998821303000454, -81.04537120699968)",PA,PA1,Q047,VALUE,45,Income,Data not reported,INC,INCNR
2020,2020,KY,Kentucky,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,25.6,"$35,000 - $49,999",,"(37.645970271000465, -84.77497104799966)",PA,PA1,Q047,VALUE,21,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.9,23.9,Data not reported,,"(42.27687047000046, -72.08269067499964)",PA,PA1,Q047,VALUE,25,Income,Data not reported,INC,INCNR
2020,2020,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.2,35.2,"Less than $15,000",,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q037,VALUE,17,Income,"Less than $15,000",INC,INCLESS15
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,26.6,26.6,"Less than $15,000",,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q037,VALUE,29,Income,"Less than $15,000",INC,INCLESS15
2020,2020,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.8,33.8,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,25.7,25.7,"Less than $15,000",,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q037,VALUE,5,Income,"Less than $15,000",INC,INCLESS15
2020,2020,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.3,35.3,"$25,000 - $34,999",,"(39.493240390000494, -117.07184056399967)",OWS,OWS1,Q037,VALUE,32,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,41.8,41.8,"Less than $15,000",,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,VALUE,46,Income,"Less than $15,000",INC,INCLESS15
2020,2020,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.4,34.4,"$25,000 - $34,999",,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q036,VALUE,38,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.2,37.2,"$25,000 - $34,999",,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q037,VALUE,30,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,29.3,29.3,"$35,000 - $49,999",,"(31.31266064400046, -92.44568007099969)",PA,PA1,Q047,VALUE,22,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.7,35.7,"$25,000 - $34,999",,"(44.353130053000484, -100.3735306369997)",OWS,OWS1,Q036,VALUE,46,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.6,37.6,"$75,000 or greater",,"(46.35564873600049, -94.79420050299967)",OWS,OWS1,Q037,VALUE,27,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28.1,28.1,"$35,000 - $49,999",,"(35.47203135600046, -97.52107021399968)",PA,PA1,Q047,VALUE,40,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.5,23.5,Data not reported,,"(39.360700171000474, -111.58713063499971)",OWS,OWS1,Q036,VALUE,49,Income,Data not reported,INC,INCNR
2020,2020,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.7,29.7,"$75,000 or greater",,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q036,VALUE,33,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.1,26.1,"$75,000 or greater",,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,VALUE,6,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38,38,"Less than $15,000",,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,VALUE,20,Income,"Less than $15,000",INC,INCLESS15
2020,2020,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.6,31.6,"Less than $15,000",,"(43.23554134300048, -108.10983035299967)",PA,PA1,Q047,VALUE,56,Income,"Less than $15,000",INC,INCLESS15
2020,2020,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28,28,"$15,000 - $24,999",,"(41.70828019300046, -71.52247031399963)",OWS,OWS1,Q037,VALUE,44,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.1,26.1,"$35,000 - $49,999",,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,VALUE,15,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.3,23.3,Data not reported,,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,VALUE,9,Income,Data not reported,INC,INCNR
2020,2020,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.7,40.7,"$50,000 - $74,999",,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q037,VALUE,38,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.9,24.9,"$75,000 or greater",,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q036,VALUE,53,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.4,22.4,Data not reported,,"(44.39319117400049, -89.81637074199966)",PA,PA1,Q047,VALUE,55,Income,Data not reported,INC,INCNR
2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.4,27.4,"$75,000 or greater",,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,VALUE,35,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,47.5,47.5,"Less than $15,000",,"(32.745510099000455, -89.53803082499968)",PA,PA1,Q047,VALUE,28,Income,"Less than $15,000",INC,INCLESS15
2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.7,34.7,"$50,000 - $74,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q037,VALUE,19,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,13.9,13.9,"$75,000 or greater",,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,VALUE,46,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,14.2,14.2,"$75,000 or greater",,"(40.48501028300046, -88.99771017799969)",PA,PA1,Q047,VALUE,17,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,36.7,36.7,"Less than $15,000",,"(64.84507995700051, -147.72205903599973)",PA,PA1,Q047,VALUE,2,Income,"Less than $15,000",INC,INCLESS15
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.5,30.5,"$25,000 - $34,999",,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q037,VALUE,29,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28,28,"$25,000 - $34,999",,"(43.65595011300047, -71.50036091999965)",PA,PA1,Q047,VALUE,33,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.7,40.7,"$35,000 - $49,999",,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,VALUE,18,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,27.3,27.3,Data not reported,,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q037,VALUE,5,Income,Data not reported,INC,INCNR
2020,2020,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.2,25.2,"$15,000 - $24,999",,"(37.63864012300047, -120.99999953799971)",PA,PA1,Q047,VALUE,6,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,OH,Ohio,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.5,25.5,"$35,000 - $49,999",,"(40.06021014100048, -82.40426005599966)",PA,PA1,Q047,VALUE,39,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,46.7,46.7,"Less than $15,000",,"(33.998821303000454, -81.04537120699968)",PA,PA1,Q047,VALUE,45,Income,"Less than $15,000",INC,INCLESS15
2020,2020,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.3,36.3,"$25,000 - $34,999",,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,VALUE,31,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.4,40.4,"$25,000 - $34,999",,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,VALUE,29,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.8,30.8,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,1,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.5,36.5,"$15,000 - $24,999",,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q036,VALUE,40,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.3,44.3,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,1,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.8,39.8,"$75,000 or greater",,"(38.66551020200046, -80.71264013499967)",OWS,OWS1,Q036,VALUE,54,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.8,36.8,"$35,000 - $49,999",,"(44.56744942400047, -120.15503132599969)",OWS,OWS1,Q037,VALUE,41,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.3,28.3,"$15,000 - $24,999",,"(33.998821303000454, -81.04537120699968)",OWS,OWS1,Q037,VALUE,45,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,26.7,26.7,"$25,000 - $34,999",,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q047,VALUE,50,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,37.3,37.3,"$35,000 - $49,999",,"(35.466220975000454, -79.15925046299964)",OWS,OWS1,Q036,VALUE,37,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.6,25.6,"$75,000 or greater",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.8,30.8,"$15,000 - $24,999",,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q037,VALUE,47,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,33.3,33.3,"$25,000 - $34,999",,"(42.46940091300047, -93.81649055599968)",PA,PA1,Q047,VALUE,19,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.8,34.8,"$50,000 - $74,999",,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,MT,Montana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,24.5,24.5,"$25,000 - $34,999",,"(47.06652897200047, -109.42442064499971)",PA,PA1,Q047,VALUE,30,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.6,27.6,"$75,000 or greater",,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,VALUE,16,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.7,37.7,Data not reported,,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q037,VALUE,35,Income,Data not reported,INC,INCNR
